# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう >> すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
バスケ,1,テニス,1,バレー,1,サッカー,1,卓球,5,野球,5,相撲,7
# 快適だ,不快だ
# 飛行機 > 新幹線 > タクシー > 電車 > バス
飛行機,1,新幹線,2,タクシー,3,電車,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 飛行機 > 電車 > タクシー > バス
新幹線,1,飛行機,2,電車,3,タクシー,4,バス,5
# 可愛い,可愛くない
# 吹石一恵 > 北乃きい > 梨花 = 釈由美子 = 優香 = 南明奈 >> 友近
吹石一恵,1,北乃きい,2,梨花,3,釈由美子,3,優香,3,南明奈,3,友近,7
# 面白い,つまらない
# 友近 >> 梨花 = 釈由美子 = 優香 = 南明奈 > 北乃きい > 吹石一恵
友近,1,梨花,2,釈由美子,2,優香,2,南明奈,2,北乃きい,6,吹石一恵,7
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > チーズケーキ > ロールケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,チーズケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
# ショートケーキ > チョコレートケーキ > シフォンケーキ > チーズケーキ > ロールケーキ
ショートケーキ,1,チョコレートケーキ,2,シフォンケーキ,3,チーズケーキ,4,ロールケーキ,5
# 美味しい,不味い
# カステラ >> スコーン = ベーグル = マフィン >> マカロン
カステラ,1,スコーン,2,ベーグル,2,マフィン,2,マカロン,5
# おしゃれだ,おしゃれでない
# マカロン > ベーグル > スコーン > マフィン >> カステラ
マカロン,1,ベーグル,2,スコーン,3,マフィン,4,カステラ,5
# 美味しい,不味い
# ココア > 紅茶 > 抹茶 > オレンジジュース > 緑茶
ココア,1,紅茶,2,抹茶,3,オレンジジュース,4,緑茶,5
# 好きだ,嫌いだ
# 串かつ > カツカレー > 讃岐うどん = お好み焼き > 牛タン
串かつ,1,カツカレー,2,讃岐うどん,3,お好み焼き,3,牛タン,5
# 高価だ,安価だ
# 牛タン > 串かつ > カツカレー > お好み焼き > 讃岐うどん
牛タン,1,串かつ,2,カツカレー,3,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 >> 福岡 > 大阪 = 名古屋 = 神戸 = 東京 >> 札幌
沖縄,1,福岡,2,大阪,3,名古屋,3,神戸,3,東京,3,札幌,7
# 遠い,近い
# 沖縄 > 札幌 > 福岡 > 東京 > 神戸 > 大阪 > 名古屋
沖縄,1,札幌,2,福岡,3,東京,4,神戸,5,大阪,6,名古屋,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > スペイン料理 = 韓国料理 > インド料理 > 中華料理
タイ料理,1,スペイン料理,2,韓国料理,2,インド料理,4,中華料理,5
# 辛い,辛くない
# タイ料理 > 韓国料理 = インド料理 > 中華料理 > スペイン料理
タイ料理,1,韓国料理,2,インド料理,2,中華料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 >> 作曲者 > 医師 = 科学者 >> 警察官
宇宙飛行士,1,作曲者,2,医師,3,科学者,3,警察官,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 警察官 > 医師 > 科学者 > 作曲者
宇宙飛行士,1,警察官,2,医師,3,科学者,4,作曲者,5
# 面白い,つまらない
# 風の谷のナウシカ > となりのトトロ > スター・ウォーズ > 不思議の国のアリス > 美女と野獣
風の谷のナウシカ,1,となりのトトロ,2,スター・ウォーズ,3,不思議の国のアリス,4,美女と野獣,5
# 新しい,古い
# スター・ウォーズ > 不思議の国のアリス > となりのトトロ > 美女と野獣 > 風の谷のナウシカ
スター・ウォーズ,1,不思議の国のアリス,2,となりのトトロ,3,美女と野獣,4,風の谷のナウシカ,5
# 必須だ,無駄だ
# 数学 = 英語 > 体育 > 国語 > 世界史
数学,1,英語,1,体育,3,国語,4,世界史,5
# 簡単だ,難しい
# 英語 > 体育 = 国語 > 世界史 > 数学
英語,1,体育,2,国語,2,世界史,4,数学,5
# 楽しい,楽しくない
# サーフィン > BBQ > 読書 > ジョギング > ドライブ > 釣り
サーフィン,1,BBQ,2,読書,3,ジョギング,4,ドライブ,5,釣り,6
# 有意義だ,有意義でない
# ジョギング >> 読書 > サーフィン = BBQ > 釣り > ドライブ
ジョギング,1,読書,2,サーフィン,3,BBQ,3,釣り,5,ドライブ,6
# 手軽だ,手軽でない
# 読書 > ジョギング > ドライブ >> BBQ > 釣り >> サーフィン
読書,1,ジョギング,2,ドライブ,3,BBQ,4,釣り,5,サーフィン,6
# 面白い,つまらない
# ニコ動 = Youtube > Twitter > Facebook > インスタグラム
ニコ動,1,Youtube,1,Twitter,3,Facebook,4,インスタグラム,5
# 便利だ,便利でない
# Youtube = Facebook = Twitter = ニコ動 > インスタグラム
Youtube,1,Facebook,1,Twitter,1,ニコ動,1,インスタグラム,5
# 面白い,つまらない
# エヴァ > GTO > ドラゴンボール > ジョジョ > プリキュア = セーラームーン
エヴァ,1,GTO,2,ドラゴンボール,3,ジョジョ,4,プリキュア,5,セーラームーン,5
# 若い,若くない
# 安倍晋三 > 麻生太郎 > 鳩山由紀夫 > 小泉純一郎 > 田中角栄
安倍晋三,1,麻生太郎,2,鳩山由紀夫,3,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 安倍晋三 = 麻生太郎 > 田中角栄 > 小泉純一郎 >> 鳩山由紀夫
安倍晋三,1,麻生太郎,1,田中角栄,3,小泉純一郎,4,鳩山由紀夫,5
# 好調だ,不調だ
# アップル = グーグル = マイクロソフト > ヤフー >> サムスン
アップル,1,グーグル,1,マイクロソフト,1,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# アップル = グーグル = ヤフー = マイクロソフト >> サムスン
アップル,1,グーグル,1,ヤフー,1,マイクロソフト,1,サムスン,5
# 偉大だ,偉大でない
# 聖徳太子 > 坂本龍馬 > エジソン = ニュートン > 宮沢賢治
聖徳太子,1,坂本龍馬,2,エジソン,3,ニュートン,3,宮沢賢治,5
# 好きだ,嫌いだ
# 聖徳太子 > 坂本龍馬 > エジソン = ニュートン > 宮沢賢治
聖徳太子,1,坂本龍馬,2,エジソン,3,ニュートン,3,宮沢賢治,5
# 面白い,つまらない
# ビートたけし = 明石家さんま = タモリ > 所ジョージ = 島田紳助
ビートたけし,1,明石家さんま,1,タモリ,1,所ジョージ,4,島田紳助,4
# 若い,若くない
# 明石家さんま = 島田紳助 > 所ジョージ > ビートたけし = タモリ
明石家さんま,1,島田紳助,1,所ジョージ,3,ビートたけし,4,タモリ,4
# 貴重だ,貴重でない
# 皇居 >> 出雲大社 >> 大阪城 = 通天閣 >> 琵琶湖
皇居,1,出雲大社,2,大阪城,3,通天閣,3,琵琶湖,5
# 新しい,古い
# 江戸時代 > 鎌倉時代 > 平安時代 > 奈良時代 > 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 江戸時代 > 弥生時代 > 奈良時代 > 平安時代 > 鎌倉時代
江戸時代,1,弥生時代,2,奈良時代,3,平安時代,4,鎌倉時代,5
# 重要だ,重要でない
# 話し方 > ルックス > 優しさ > 服装 > 髪型
話し方,1,ルックス,2,優しさ,3,服装,4,髪型,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > ダルビッシュ >> 内村航平 >> イチロー
羽生結弦,1,錦織圭,2,ダルビッシュ,3,内村航平,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > 錦織圭 = 羽生結弦 > 内村航平 > ダルビッシュ
イチロー,1,錦織圭,2,羽生結弦,2,内村航平,4,ダルビッシュ,5
