# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
北乃きい,1,優香,2,釈由美子,3,南明奈,4,吹石一恵,5,梨花,6,友近,7
# 面白い,つまらない
# 友近 > 北乃きい = 梨花 = 釈由美子 = 優香 = 南明奈 = 吹石一恵
友近,1,北乃きい,2,梨花,2,釈由美子,2,優香,2,南明奈,2,吹石一恵,2
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > ロールケーキ > シフォンケーキ > チーズケーキ
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# チョコレートケーキ > ショートケーキ > チーズケーキ > ロールケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,チーズケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# マカロン > ベーグル > カステラ > マフィン > スコーン
マカロン,1,ベーグル,2,カステラ,3,マフィン,4,スコーン,5
# おしゃれだ,おしゃれでない
# マカロン > ベーグル > マフィン > スコーン > カステラ
マカロン,1,ベーグル,2,マフィン,3,スコーン,4,カステラ,5
# 美味しい,不味い
# ココア > 抹茶 > 紅茶 > 緑茶 > オレンジジュース
ココア,1,抹茶,2,紅茶,3,緑茶,4,オレンジジュース,5
# 好きだ,嫌いだ
# 牛タン > 串かつ > カツカレー > お好み焼き > 讃岐うどん
牛タン,1,串かつ,2,カツカレー,3,お好み焼き,4,讃岐うどん,5
# 高価だ,安価だ
# 牛タン > 串かつ > カツカレー > お好み焼き > 讃岐うどん
牛タン,1,串かつ,2,カツカレー,3,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 福岡 > 神戸 = 大阪 > 東京 > 名古屋 > 札幌
沖縄,1,福岡,2,神戸,3,大阪,3,東京,5,名古屋,6,札幌,7
# 遠い,近い
# 沖縄 > 札幌 > 福岡 > 神戸 > 東京 > 大阪 > 名古屋
沖縄,1,札幌,2,福岡,3,神戸,4,東京,5,大阪,6,名古屋,7
# ヘルシーだ,ヘルシーでない
# インド料理 > 中華料理 = タイ料理 = スペイン料理 = 韓国料理
インド料理,1,中華料理,2,タイ料理,2,スペイン料理,2,韓国料理,2
# 辛い,辛くない
# タイ料理 > 韓国料理 > 中華料理 > インド料理 > スペイン料理
タイ料理,1,韓国料理,2,中華料理,3,インド料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 医師 > 科学者 > 警察官 > 作曲者
宇宙飛行士,1,医師,2,科学者,3,警察官,4,作曲者,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 警察官 > 医師 = 科学者 >> 作曲者
宇宙飛行士,1,警察官,2,医師,3,科学者,3,作曲者,5
# 面白い,つまらない
# となりのトトロ > 美女と野獣 > 風の谷のナウシカ > 不思議の国のアリス > スター・ウォーズ
となりのトトロ,1,美女と野獣,2,風の谷のナウシカ,3,不思議の国のアリス,4,スター・ウォーズ,5
# 新しい,古い
# となりのトトロ > 風の谷のナウシカ > スター・ウォーズ > 不思議の国のアリス > 美女と野獣
となりのトトロ,1,風の谷のナウシカ,2,スター・ウォーズ,3,不思議の国のアリス,4,美女と野獣,5
# 必須だ,無駄だ
# 国語 > 数学 > 世界史 > 英語 > 体育
国語,1,数学,2,世界史,3,英語,4,体育,5
# 簡単だ,難しい
# 国語 > 世界史 > 体育 > 数学 > 英語
国語,1,世界史,2,体育,3,数学,4,英語,5
# 楽しい,楽しくない
# ドライブ > BBQ >> 読書 > 釣り = ジョギング = サーフィン
ドライブ,1,BBQ,2,読書,3,釣り,4,ジョギング,4,サーフィン,4
# 有意義だ,有意義でない
# ドライブ > BBQ > 読書 > 釣り = ジョギング = サーフィン
ドライブ,1,BBQ,2,読書,3,釣り,4,ジョギング,4,サーフィン,4
# 手軽だ,手軽でない
# 読書 > ドライブ >> ジョギング > BBQ > 釣り > サーフィン
読書,1,ドライブ,2,ジョギング,3,BBQ,4,釣り,5,サーフィン,6
# 面白い,つまらない
# ニコ動 > Twitter > Facebook > Youtube > インスタグラム
ニコ動,1,Twitter,2,Facebook,3,Youtube,4,インスタグラム,5
# 便利だ,便利でない
# ニコ動 > Twitter > Facebook > Youtube > インスタグラム
ニコ動,1,Twitter,2,Facebook,3,Youtube,4,インスタグラム,5
# 面白い,つまらない
# ドラゴンボール > セーラームーン > ジョジョ > GTO > エヴァ > プリキュア
ドラゴンボール,1,セーラームーン,2,ジョジョ,3,GTO,4,エヴァ,5,プリキュア,6
# 若い,若くない
# 鳩山由紀夫 > 安倍晋三 > 麻生太郎 > 小泉純一郎 > 田中角栄
鳩山由紀夫,1,安倍晋三,2,麻生太郎,3,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 安倍晋三 = 麻生太郎 = 鳩山由紀夫 = 小泉純一郎 = 田中角栄
安倍晋三,1,麻生太郎,1,鳩山由紀夫,1,小泉純一郎,1,田中角栄,1
# 好調だ,不調だ
# グーグル > マイクロソフト > ヤフー = サムスン > アップル
グーグル,1,マイクロソフト,2,ヤフー,3,サムスン,3,アップル,5
# 不可欠だ,不要だ
# グーグル > アップル > マイクロソフト > ヤフー > サムスン
グーグル,1,アップル,2,マイクロソフト,3,ヤフー,4,サムスン,5
# 偉大だ,偉大でない
# エジソン > ニュートン > 坂本龍馬 > 宮沢賢治 > 聖徳太子
エジソン,1,ニュートン,2,坂本龍馬,3,宮沢賢治,4,聖徳太子,5
# 好きだ,嫌いだ
# 坂本龍馬 >> エジソン = 宮沢賢治 = 聖徳太子 = ニュートン
坂本龍馬,1,エジソン,2,宮沢賢治,2,聖徳太子,2,ニュートン,2
# 面白い,つまらない
# 明石家さんま >> 所ジョージ > タモリ > ビートたけし >> 島田紳助
明石家さんま,1,所ジョージ,2,タモリ,3,ビートたけし,4,島田紳助,5
# 若い,若くない
# 所ジョージ > 島田紳助 > 明石家さんま > ビートたけし > タモリ
所ジョージ,1,島田紳助,2,明石家さんま,3,ビートたけし,4,タモリ,5
# 貴重だ,貴重でない
# 皇居 > 出雲大社 > 琵琶湖 > 通天閣 > 大阪城
皇居,1,出雲大社,2,琵琶湖,3,通天閣,4,大阪城,5
# 新しい,古い
# 江戸時代 > 鎌倉時代 > 奈良時代 > 平安時代 > 弥生時代
江戸時代,1,鎌倉時代,2,奈良時代,3,平安時代,4,弥生時代,5
# 長い,短い
# 江戸時代 > 弥生時代 > 平安時代 > 奈良時代 > 鎌倉時代
江戸時代,1,弥生時代,2,平安時代,3,奈良時代,4,鎌倉時代,5
# 重要だ,重要でない
# 髪型 = ルックス > 服装 > 優しさ > 話し方
髪型,1,ルックス,1,服装,3,優しさ,4,話し方,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > 内村航平 > ダルビッシュ > イチロー
羽生結弦,1,錦織圭,2,内村航平,3,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# 錦織圭 > 内村航平 > 羽生結弦 > イチロー > ダルビッシュ
錦織圭,1,内村航平,2,羽生結弦,3,イチロー,4,ダルビッシュ,5
