# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
日立製作所,1,パナソニック,2,キャノン,3,エプソン,4,富士通,5,ソニー,6,東芝,7
# 新しい,古い
# パナソニック > キャノン > エプソン > ソニー > 富士通 > 日立製作所 > 東芝
パナソニック,1,キャノン,2,エプソン,3,ソニー,4,富士通,5,日立製作所,6,東芝,7
# 裕福だ,貧乏だ
# イギリス > アメリカ > スペイン > 中国 > ロシア > インド > タイ
イギリス,1,アメリカ,2,スペイン,3,中国,4,ロシア,5,インド,6,タイ,7
# 広大だ,せまい
# ロシア > アメリカ > 中国 > インド > タイ > スペイン > イギリス
ロシア,1,アメリカ,2,中国,3,インド,4,タイ,5,スペイン,6,イギリス,7
# 暖かい,寒い
# タイ > インド > 中国 > アメリカ > スペイン > イギリス > ロシア
タイ,1,インド,2,中国,3,アメリカ,4,スペイン,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ダイハツ > ホンダ > ヤマハ > マツダ
トヨタ,1,ダイハツ,2,ホンダ,3,ヤマハ,4,マツダ,5
# 有名だ,無名だ
# ホンダ > トヨタ > ヤマハ > マツダ > ダイハツ
ホンダ,1,トヨタ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 美味しい,不味い
# 日本酒 > ビール > ウイスキー > チューハイ > ハイボール
日本酒,1,ビール,2,ウイスキー,3,チューハイ,4,ハイボール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ラーメン > チャーハン > ピザ > カレー > ハンバーガー
ラーメン,1,チャーハン,2,ピザ,3,カレー,4,ハンバーガー,5
# 脂っこい,脂っこくない
# ハンバーガー > チャーハン > ラーメン > カレー > ピザ
ハンバーガー,1,チャーハン,2,ラーメン,3,カレー,4,ピザ,5
# 高価だ,安価だ
# カーナビ > エアコン > 洗濯機 > カメラ > プリンタ
カーナビ,1,エアコン,2,洗濯機,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > エアコン > カーナビ > カメラ
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 雨 >> 霧 = 強風 = 霜 > 雷
晴天,1,雪,2,雨,3,霧,4,強風,4,霜,4,雷,7
# 珍しい,珍しくない
# 雪 > 霜 > 霧 > 雷 > 強風 > 雨 > 晴天
雪,1,霜,2,霧,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 鶏肉 > 牛肉 > 豚肉 > 馬肉 > ラム肉
鶏肉,1,牛肉,2,豚肉,3,馬肉,4,ラム肉,5
# 高価だ,安価だ
# 牛肉 > 豚肉 > 馬肉 > ラム肉 > 鶏肉
牛肉,1,豚肉,2,馬肉,3,ラム肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 中尊寺 > 薬師寺 > 善光寺 > 増上寺 > 東寺
銀閣寺,1,中尊寺,2,薬師寺,3,善光寺,4,増上寺,5,東寺,6
# 立派だ,立派でない
# 中尊寺 > 善光寺 > 薬師寺 > 銀閣寺 > 東寺 > 増上寺
中尊寺,1,善光寺,2,薬師寺,3,銀閣寺,4,東寺,5,増上寺,6
# メジャーだ,マイナーだ
# サッカー > テニス > バスケ > バレー > 卓球 > 野球 > 相撲
サッカー,1,テニス,2,バスケ,3,バレー,4,卓球,5,野球,6,相撲,7
# 得意だ,苦手だ
# テニス > サッカー > バスケ > 卓球 > バレー > 野球 > 相撲
テニス,1,サッカー,2,バスケ,3,卓球,4,バレー,5,野球,6,相撲,7
# 快適だ,不快だ
# 新幹線 > 電車 > タクシー > バス > 飛行機
新幹線,1,電車,2,タクシー,3,バス,4,飛行機,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 > 飛行機 > バス > タクシー
新幹線,1,電車,2,飛行機,3,バス,4,タクシー,5
# 可愛い,可愛くない
# 優香 > 吹石一恵 > 南明奈 > 釈由美子 > 北乃きい > 友近 > 梨花
優香,1,吹石一恵,2,南明奈,3,釈由美子,4,北乃きい,5,友近,6,梨花,7
# 面白い,つまらない
# 友近 >> 北乃きい = 梨花 = 釈由美子 = 優香 = 南明奈 = 吹石一恵
友近,1,北乃きい,2,梨花,2,釈由美子,2,優香,2,南明奈,2,吹石一恵,2
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > ロールケーキ > シフォンケーキ > チーズケーキ
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# ショートケーキ > ロールケーキ > シフォンケーキ > チーズケーキ > チョコレートケーキ
ショートケーキ,1,ロールケーキ,2,シフォンケーキ,3,チーズケーキ,4,チョコレートケーキ,5
# 美味しい,不味い
# カステラ > マフィン > スコーン > マカロン > ベーグル
カステラ,1,マフィン,2,スコーン,3,マカロン,4,ベーグル,5
# おしゃれだ,おしゃれでない
# スコーン > マカロン > ベーグル > マフィン > カステラ
スコーン,1,マカロン,2,ベーグル,3,マフィン,4,カステラ,5
# 美味しい,不味い
# 緑茶 > 紅茶 > ココア > 抹茶 > オレンジジュース
緑茶,1,紅茶,2,ココア,3,抹茶,4,オレンジジュース,5
# 好きだ,嫌いだ
# 讃岐うどん > お好み焼き > 串かつ > カツカレー > 牛タン
讃岐うどん,1,お好み焼き,2,串かつ,3,カツカレー,4,牛タン,5
# 高価だ,安価だ
# カツカレー > 牛タン > お好み焼き > 串かつ > 讃岐うどん
カツカレー,1,牛タン,2,お好み焼き,3,串かつ,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 大阪 > 神戸 > 名古屋 > 福岡 > 東京 > 札幌
沖縄,1,大阪,2,神戸,3,名古屋,4,福岡,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 > 札幌 > 福岡 > 東京 > 名古屋 > 神戸 > 大阪
沖縄,1,札幌,2,福岡,3,東京,4,名古屋,5,神戸,6,大阪,7
# ヘルシーだ,ヘルシーでない
# スペイン料理 > タイ料理 > インド料理 > 中華料理 = 韓国料理
スペイン料理,1,タイ料理,2,インド料理,3,中華料理,4,韓国料理,4
# 辛い,辛くない
# タイ料理 > インド料理 > 韓国料理 > 中華料理 > スペイン料理
タイ料理,1,インド料理,2,韓国料理,3,中華料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 医師 > 作曲者 > 科学者 > 警察官
宇宙飛行士,1,医師,2,作曲者,3,科学者,4,警察官,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 医師 > 警察官 > 科学者 > 作曲者
宇宙飛行士,1,医師,2,警察官,3,科学者,4,作曲者,5
# 面白い,つまらない
# 風の谷のナウシカ > スター・ウォーズ > となりのトトロ >> 不思議の国のアリス = 美女と野獣
風の谷のナウシカ,1,スター・ウォーズ,2,となりのトトロ,3,不思議の国のアリス,4,美女と野獣,4
# 新しい,古い
# 不思議の国のアリス > 美女と野獣 > スター・ウォーズ > 風の谷のナウシカ > となりのトトロ
不思議の国のアリス,1,美女と野獣,2,スター・ウォーズ,3,風の谷のナウシカ,4,となりのトトロ,5
# 必須だ,無駄だ
# 数学 > 国語 > 英語 > 体育 > 世界史
数学,1,国語,2,英語,3,体育,4,世界史,5
# 簡単だ,難しい
# 数学 > 国語 > 体育 > 世界史 > 英語
数学,1,国語,2,体育,3,世界史,4,英語,5
# 楽しい,楽しくない
# ドライブ > BBQ > 読書 >> 釣り = ジョギング > サーフィン
ドライブ,1,BBQ,2,読書,3,釣り,4,ジョギング,4,サーフィン,6
# 有意義だ,有意義でない
# 読書 >> 釣り = ジョギング = サーフィン = BBQ = ドライブ
読書,1,釣り,2,ジョギング,2,サーフィン,2,BBQ,2,ドライブ,2
# 手軽だ,手軽でない
# 読書 > ドライブ > ジョギング > BBQ > 釣り > サーフィン
読書,1,ドライブ,2,ジョギング,3,BBQ,4,釣り,5,サーフィン,6
# 面白い,つまらない
# Youtube > Twitter > ニコ動 > インスタグラム > Facebook
Youtube,1,Twitter,2,ニコ動,3,インスタグラム,4,Facebook,5
# 便利だ,便利でない
# Youtube > Twitter > インスタグラム = Facebook > ニコ動
Youtube,1,Twitter,2,インスタグラム,3,Facebook,3,ニコ動,5
# 面白い,つまらない
# ドラゴンボール > セーラームーン > プリキュア > ジョジョ > エヴァ > GTO
ドラゴンボール,1,セーラームーン,2,プリキュア,3,ジョジョ,4,エヴァ,5,GTO,6
# 若い,若くない
# 田中角栄 > 小泉純一郎 > 鳩山由紀夫 > 麻生太郎 > 安倍晋三
田中角栄,1,小泉純一郎,2,鳩山由紀夫,3,麻生太郎,4,安倍晋三,5
# 好きだ,嫌いだ
# 小泉純一郎 > 麻生太郎 > 安倍晋三 > 鳩山由紀夫 > 田中角栄
小泉純一郎,1,麻生太郎,2,安倍晋三,3,鳩山由紀夫,4,田中角栄,5
# 好調だ,不調だ
# グーグル > アップル > マイクロソフト > ヤフー > サムスン
グーグル,1,アップル,2,マイクロソフト,3,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# グーグル > マイクロソフト > ヤフー > アップル > サムスン
グーグル,1,マイクロソフト,2,ヤフー,3,アップル,4,サムスン,5
# 偉大だ,偉大でない
# エジソン > ニュートン > 聖徳太子 > 坂本龍馬 > 宮沢賢治
エジソン,1,ニュートン,2,聖徳太子,3,坂本龍馬,4,宮沢賢治,5
# 好きだ,嫌いだ
# エジソン > ニュートン > 坂本龍馬 > 聖徳太子 > 宮沢賢治
エジソン,1,ニュートン,2,坂本龍馬,3,聖徳太子,4,宮沢賢治,5
# 面白い,つまらない
# 明石家さんま > 島田紳助 > ビートたけし > タモリ > 所ジョージ
明石家さんま,1,島田紳助,2,ビートたけし,3,タモリ,4,所ジョージ,5
# 若い,若くない
# 明石家さんま > 島田紳助 > 所ジョージ > ビートたけし > タモリ
明石家さんま,1,島田紳助,2,所ジョージ,3,ビートたけし,4,タモリ,5
# 貴重だ,貴重でない
# 出雲大社 > 琵琶湖 > 通天閣 > 大阪城 > 皇居
出雲大社,1,琵琶湖,2,通天閣,3,大阪城,4,皇居,5
# 新しい,古い
# 弥生時代 > 奈良時代 > 平安時代 > 鎌倉時代 > 江戸時代
弥生時代,1,奈良時代,2,平安時代,3,鎌倉時代,4,江戸時代,5
# 長い,短い
# 弥生時代 > 平安時代 > 江戸時代 > 鎌倉時代 > 奈良時代
弥生時代,1,平安時代,2,江戸時代,3,鎌倉時代,4,奈良時代,5
# 重要だ,重要でない
# 優しさ > 話し方 > ルックス > 髪型 > 服装
優しさ,1,話し方,2,ルックス,3,髪型,4,服装,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > 内村航平 > ダルビッシュ > イチロー
羽生結弦,1,錦織圭,2,内村航平,3,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > 羽生結弦 = 内村航平 > 錦織圭 > ダルビッシュ
イチロー,1,羽生結弦,2,内村航平,2,錦織圭,4,ダルビッシュ,5
