# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
サッカー,1,野球,2,バスケ,2,バレー,2,テニス,5,卓球,5,相撲,7
# 快適だ,不快だ
# 新幹線 = 電車 > タクシー > バス >> 飛行機
新幹線,1,電車,1,タクシー,3,バス,4,飛行機,5
# 速い,遅い
# 飛行機 >> 新幹線 > 電車 > タクシー = バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,4
# 安全だ,危険だ
# 電車 = 新幹線 > タクシー = バス >> 飛行機
電車,1,新幹線,1,タクシー,3,バス,3,飛行機,5
# 可愛い,可愛くない
# 北乃きい > 優香 = 吹石一恵 >> 南明奈 > 釈由美子 = 梨花 > 友近
北乃きい,1,優香,2,吹石一恵,2,南明奈,4,釈由美子,5,梨花,5,友近,7
# 面白い,つまらない
# 友近 >> 北乃きい = 優香 = 梨花 = 釈由美子 = 南明奈 > 吹石一恵
友近,1,北乃きい,2,優香,2,梨花,2,釈由美子,2,南明奈,2,吹石一恵,7
# 甘い,甘くない
# ショートケーキ > チーズケーキ > ロールケーキ > チョコレートケーキ >> シフォンケーキ
ショートケーキ,1,チーズケーキ,2,ロールケーキ,3,チョコレートケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
# チョコレートケーキ >> ショートケーキ = チーズケーキ > ロールケーキ = シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,チーズケーキ,2,ロールケーキ,4,シフォンケーキ,4
# 美味しい,不味い
# カステラ > スコーン = ベーグル = マフィン >> マカロン
カステラ,1,スコーン,2,ベーグル,2,マフィン,2,マカロン,5
# おしゃれだ,おしゃれでない
# マカロン >> マフィン = スコーン = ベーグル > カステラ
マカロン,1,マフィン,2,スコーン,2,ベーグル,2,カステラ,5
# 美味しい,不味い
# オレンジジュース >> ココア > 紅茶 > 緑茶 > 抹茶
オレンジジュース,1,ココア,2,紅茶,3,緑茶,4,抹茶,5
# 好きだ,嫌いだ
# カツカレー > 牛タン = 串かつ >> 讃岐うどん = お好み焼き
カツカレー,1,牛タン,2,串かつ,2,讃岐うどん,4,お好み焼き,4
# 高価だ,安価だ
# 牛タン > カツカレー > 串かつ > お好み焼き > 讃岐うどん
牛タン,1,カツカレー,2,串かつ,3,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 >> 福岡 > 神戸 = 大阪 > 名古屋 > 東京 > 札幌
沖縄,1,福岡,2,神戸,3,大阪,3,名古屋,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 > 福岡 > 大阪 = 神戸 > 名古屋 > 東京 >> 札幌
沖縄,1,福岡,2,大阪,3,神戸,3,名古屋,5,東京,6,札幌,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > 韓国料理 > インド料理 > スペイン料理 > 中華料理
タイ料理,1,韓国料理,2,インド料理,3,スペイン料理,4,中華料理,5
# 辛い,辛くない
# 韓国料理 > タイ料理 > インド料理 >> 中華料理 > スペイン料理
韓国料理,1,タイ料理,2,インド料理,3,中華料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 >> 科学者 > 医師 > 作曲者 > 警察官
宇宙飛行士,1,科学者,2,医師,3,作曲者,4,警察官,5
# 過酷だ,過酷でない
# 警察官 > 医師 > 宇宙飛行士 > 科学者 >> 作曲者
警察官,1,医師,2,宇宙飛行士,3,科学者,4,作曲者,5
# 面白い,つまらない
# スター・ウォーズ >> 風の谷のナウシカ > となりのトトロ > 美女と野獣 > 不思議の国のアリス
スター・ウォーズ,1,風の谷のナウシカ,2,となりのトトロ,3,美女と野獣,4,不思議の国のアリス,5
# 新しい,古い
# スター・ウォーズ >> 風の谷のナウシカ = となりのトトロ > 美女と野獣 > 不思議の国のアリス
スター・ウォーズ,1,風の谷のナウシカ,2,となりのトトロ,2,美女と野獣,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 国語 >> 英語 > 数学 > 体育 > 世界史
国語,1,英語,2,数学,3,体育,4,世界史,5
# 簡単だ,難しい
# 体育 >> 世界史 > 国語 > 数学 > 英語
体育,1,世界史,2,国語,3,数学,4,英語,5
# 楽しい,楽しくない
# 読書 >> ドライブ > BBQ > ジョギング > 釣り = サーフィン
読書,1,ドライブ,2,BBQ,3,ジョギング,4,釣り,5,サーフィン,5
# 有意義だ,有意義でない
# 読書 >> ジョギング > ドライブ > 釣り > サーフィン = BBQ
読書,1,ジョギング,2,ドライブ,3,釣り,4,サーフィン,5,BBQ,5
# 手軽だ,手軽でない
# 読書 > ジョギング >> ドライブ > 釣り = BBQ > サーフィン
読書,1,ジョギング,2,ドライブ,3,釣り,4,BBQ,4,サーフィン,6
# 面白い,つまらない
# Youtube > Twitter > インスタグラム > ニコ動 >> Facebook
Youtube,1,Twitter,2,インスタグラム,3,ニコ動,4,Facebook,5
# 便利だ,便利でない
# Youtube >> Twitter > ニコ動 > Facebook = インスタグラム
Youtube,1,Twitter,2,ニコ動,3,Facebook,4,インスタグラム,4
# 面白い,つまらない
# ドラゴンボール >> エヴァ > ジョジョ > GTO > プリキュア = セーラームーン
ドラゴンボール,1,エヴァ,2,ジョジョ,3,GTO,4,プリキュア,5,セーラームーン,5
# 若い,若くない
# 安倍晋三 > 鳩山由紀夫 > 麻生太郎 > 小泉純一郎 >> 田中角栄
安倍晋三,1,鳩山由紀夫,2,麻生太郎,3,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 安倍晋三 > 麻生太郎 = 小泉純一郎 = 田中角栄 >> 鳩山由紀夫
安倍晋三,1,麻生太郎,2,小泉純一郎,2,田中角栄,2,鳩山由紀夫,5
# 好調だ,不調だ
# アップル = グーグル = マイクロソフト > ヤフー >> サムスン
アップル,1,グーグル,1,マイクロソフト,1,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# マイクロソフト > グーグル = ヤフー > アップル >> サムスン
マイクロソフト,1,グーグル,2,ヤフー,2,アップル,4,サムスン,5
# 偉大だ,偉大でない
# エジソン > ニュートン >> 坂本龍馬 > 宮沢賢治 > 聖徳太子
エジソン,1,ニュートン,2,坂本龍馬,3,宮沢賢治,4,聖徳太子,5
# 好きだ,嫌いだ
# 坂本龍馬 >> 宮沢賢治 > 聖徳太子 > ニュートン > エジソン
坂本龍馬,1,宮沢賢治,2,聖徳太子,3,ニュートン,4,エジソン,5
# 面白い,つまらない
# 明石家さんま >> 島田紳助 > ビートたけし > タモリ = 所ジョージ
明石家さんま,1,島田紳助,2,ビートたけし,3,タモリ,4,所ジョージ,4
# 若い,若くない
# 明石家さんま > 島田紳助 > 所ジョージ > ビートたけし > タモリ
明石家さんま,1,島田紳助,2,所ジョージ,3,ビートたけし,4,タモリ,5
# 貴重だ,貴重でない
# 皇居 >> 出雲大社 > 大阪城 > 琵琶湖 > 通天閣
皇居,1,出雲大社,2,大阪城,3,琵琶湖,4,通天閣,5
# 新しい,古い
# 江戸時代 > 鎌倉時代 > 平安時代 > 奈良時代 >> 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 弥生時代 >> 江戸時代 > 鎌倉時代 > 平安時代 > 奈良時代
弥生時代,1,江戸時代,2,鎌倉時代,3,平安時代,4,奈良時代,5
# 重要だ,重要でない
# 優しさ >> ルックス > 話し方 > 髪型 = 服装
優しさ,1,ルックス,2,話し方,3,髪型,4,服装,4
# 若い,若くない
# 羽生結弦 > 錦織圭 > ダルビッシュ > 内村航平 >> イチロー
羽生結弦,1,錦織圭,2,ダルビッシュ,3,内村航平,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー >> 内村航平 = 羽生結弦 > 錦織圭 > ダルビッシュ
イチロー,1,内村航平,2,羽生結弦,2,錦織圭,4,ダルビッシュ,5
